Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,lat,long,coast,elev,pop
0.012,0.057,0.007,0.007,0.81,0.091,0.013,0.004,-3.578545,142.76672,0.267685813,322,3
0.181,0.42,0.01,0.06,0.09,0.209,0.026,0.003,-3.578545,142.76672,0.267685813,322,3
0.117,0.465,0.011,0.065,0.065,0.248,0.026,0.003,-3.578545,142.76672,0.267685813,322,3
0.009,0.145,0.023,0.002,0.145,0.666,0.008,0.002,-3.578545,142.76672,0.267685813,322,3
0.012,0.482,0.011,0.004,0.012,0.465,0.012,0.002,-3.578545,142.76672,0.267685813,322,3
0.005,0.015,0.009,0.001,0.94,0.009,0.017,0.003,-3.578545,142.76672,0.267685813,322,3
0.085,0.031,0.016,0.005,0.286,0.553,0.011,0.013,-3.578545,142.76672,0.267685813,322,3
0.021,0.028,0.033,0.003,0.898,0.008,0.006,0.004,-3.578545,142.76672,0.267685813,322,3
0.016,0.748,0.005,0.003,0.148,0.071,0.007,0.002,-3.578545,142.76672,0.267685813,322,3
0.109,0.061,0.005,0.002,0.492,0.282,0.044,0.004,-3.578545,142.76672,0.267685813,322,3
0.02,0.068,0.03,0.013,0.289,0.568,0.005,0.009,-3.578545,142.76672,0.267685813,322,3
0.012,0.121,0.009,0.009,0.787,0.05,0.009,0.003,-3.578545,142.76672,0.267685813,322,3
0.012,0.011,0.008,0.003,0.949,0.006,0.006,0.005,-3.578545,142.76672,0.267685813,322,3
0.007,0.012,0.006,0.003,0.953,0.012,0.005,0.002,-3.578545,142.76672,0.267685813,322,3
0.004,0.048,0.027,0.021,0.749,0.078,0.069,0.004,-3.578545,142.76672,0.267685813,322,3
0.008,0.588,0.011,0.002,0.032,0.298,0.006,0.054,-3.578545,142.76672,0.267685813,322,3
0.021,0.027,0.008,0.003,0.839,0.085,0.013,0.005,-3.578545,142.76672,0.267685813,322,3
0.07,0.284,0.037,0.014,0.281,0.291,0.017,0.007,-3.578545,142.76672,0.267685813,322,3
0.025,0.51,0.027,0.007,0.008,0.408,0.007,0.008,-3.578545,142.76672,0.267685813,322,3
0.008,0.299,0.01,0.003,0.076,0.592,0.007,0.005,-3.578545,142.76672,0.267685813,322,3
0.006,0.007,0.005,0.002,0.969,0.005,0.005,0.002,-3.578545,142.76672,0.267685813,322,3
0.074,0.433,0.015,0.007,0.313,0.141,0.015,0.003,-3.578545,142.76672,0.267685813,322,3
0.025,0.227,0.04,0.007,0.673,0.017,0.007,0.005,-3.578545,142.76672,0.267685813,322,3
0.019,0.432,0.018,0.017,0.047,0.456,0.005,0.006,-3.578545,142.76672,0.267685813,322,3
0.007,0.032,0.013,0.002,0.911,0.012,0.017,0.006,-3.578545,142.76672,0.267685813,322,3
0.007,0.496,0.011,0.007,0.016,0.45,0.011,0.003,-3.578545,142.76672,0.267685813,322,3
0.011,0.023,0.01,0.003,0.928,0.015,0.005,0.006,-3.578545,142.76672,0.267685813,322,3
0.333,0.244,0.011,0.007,0.271,0.088,0.042,0.004,-3.578545,142.76672,0.267685813,322,3
0.053,0.185,0.023,0.071,0.519,0.097,0.047,0.005,-3.578545,142.76672,0.267685813,322,3
0.221,0.496,0.048,0.017,0.086,0.098,0.006,0.028,-3.578545,142.76672,0.267685813,322,3
0.013,0.507,0.011,0.005,0.014,0.438,0.009,0.002,-3.578545,142.76672,0.267685813,322,3
0.008,0.018,0.004,0.008,0.045,0.908,0.004,0.006,-3.578545,142.76672,0.267685813,322,3
0.005,0.04,0.019,0.027,0.763,0.061,0.083,0.003,-3.578545,142.76672,0.267685813,322,3
0.044,0.062,0.014,0.003,0.848,0.019,0.006,0.004,-3.578545,142.76672,0.267685813,322,3
0.073,0.254,0.008,0.009,0.518,0.097,0.039,0.003,-3.578545,142.76672,0.267685813,322,3
0.006,0.052,0.014,0.01,0.017,0.869,0.026,0.007,-3.578545,142.76672,0.267685813,322,3
0.011,0.388,0.033,0.013,0.381,0.154,0.007,0.014,-3.578545,142.76672,0.267685813,322,3
0.01,0.012,0.017,0.025,0.891,0.011,0.03,0.004,-3.578545,142.76672,0.267685813,322,3
0.018,0.272,0.071,0.008,0.032,0.516,0.023,0.059,-3.578545,142.76672,0.267685813,322,3
0.025,0.027,0.017,0.01,0.895,0.015,0.005,0.007,-3.578545,142.76672,0.267685813,322,3
0.009,0.009,0.006,0.006,0.946,0.012,0.009,0.004,-3.578545,142.76672,0.267685813,322,3
0.143,0.323,0.03,0.011,0.455,0.027,0.009,0.002,-3.578545,142.76672,0.267685813,322,3
0.009,0.034,0.009,0.115,0.471,0.352,0.006,0.005,-3.578545,142.76672,0.267685813,322,3
0.089,0.161,0.449,0.006,0.037,0.165,0.085,0.007,-3.578545,142.76672,0.267685813,322,3
0.014,0.031,0.007,0.003,0.845,0.082,0.013,0.005,-3.578545,142.76672,0.267685813,322,3
0.042,0.519,0.012,0.001,0.387,0.01,0.027,0.002,-3.578545,142.76672,0.267685813,322,3
0.038,0.028,0.008,0.002,0.611,0.26,0.007,0.045,-3.578545,142.76672,0.267685813,322,3
0.007,0.028,0.013,0.003,0.914,0.019,0.01,0.005,-3.578545,142.76672,0.267685813,322,3
0.01,0.028,0.006,0.004,0.662,0.276,0.01,0.003,-3.578545,142.76672,0.267685813,322,3
0.009,0.014,0.011,0.002,0.948,0.006,0.007,0.003,-3.578545,142.76672,0.267685813,322,3
0.392,0.115,0.012,0.011,0.345,0.1,0.013,0.01,-5.23428,145.61188,0.160205272,80,27
0.924,0.016,0.021,0.002,0.014,0.01,0.009,0.004,-4.1967,144.8982,0.000537397,16,25
0.045,0.525,0.031,0.005,0.057,0.3,0.027,0.011,-4.1967,144.8982,0.000537397,16,25
0.013,0.774,0.027,0.004,0.12,0.043,0.007,0.011,-4.1967,144.8982,0.000537397,16,25
0.014,0.163,0.028,0.002,0.265,0.512,0.011,0.006,-4.1967,144.8982,0.000537397,16,25
0.007,0.212,0.003,0.008,0.186,0.568,0.007,0.008,-4.1967,144.8982,0.000537397,16,25
0.046,0.053,0.007,0.004,0.126,0.712,0.01,0.042,-4.1967,144.8982,0.000537397,16,25
0.737,0.072,0.089,0.002,0.03,0.036,0.025,0.01,-4.1967,144.8982,0.000537397,16,25
0.042,0.569,0.015,0.002,0.113,0.244,0.011,0.004,-4.1967,144.8982,0.000537397,16,25
0.037,0.329,0.11,0.002,0.119,0.184,0.217,0.003,-4.1967,144.8982,0.000537397,16,25
0.026,0.869,0.005,0.003,0.055,0.025,0.013,0.005,-4.1967,144.8982,0.000537397,16,25
0.021,0.814,0.035,0.004,0.021,0.091,0.007,0.008,-4.1967,144.8982,0.000537397,16,25
0.052,0.612,0.009,0.008,0.034,0.275,0.007,0.002,-4.1967,144.8982,0.000537397,16,25
0.047,0.773,0.012,0.006,0.096,0.054,0.008,0.003,-4.1967,144.8982,0.000537397,16,25
0.284,0.535,0.048,0.003,0.072,0.028,0.011,0.019,-4.1967,144.8982,0.000537397,16,25
0.014,0.414,0.027,0.003,0.439,0.048,0.009,0.047,-4.1967,144.8982,0.000537397,16,25
0.085,0.111,0.075,0.002,0.026,0.685,0.008,0.007,-4.1967,144.8982,0.000537397,16,25
0.131,0.197,0.049,0.002,0.101,0.392,0.105,0.023,-4.1967,144.8982,0.000537397,16,25
0.464,0.154,0.028,0.003,0.092,0.243,0.01,0.007,-4.1967,144.8982,0.000537397,16,25
